#sortabletable(|String|String|String|Number|String|String|String|String|Number|Number|Number|Number|Number|String|String|String,1){{
|~画像|~名前|~属性|~武器種|~適正&br;Rank|~奥義|~第1スキル|~第2スキル|~第3スキル|~MAX&br;Lv|~Min&br;HP|~Min&br;ATK|~Max&br;HP|~Max&br;ATK|~武器シリーズ/分類|~カテゴリ1&br;(関連コンテンツ)|~カテゴリ2&br;(詳細・その他)|h
|CENTER:50|LEFT:120|SIZE(14):CENTER:20|CENTER:30|CENTER:20|SIZE(11):80|SIZE(11):80|SIZE(11):80|SIZE(11):80|CENTER:30|CENTER:30|CENTER:30|CENTER:30|CENTER:30|SIZE(12):100|SIZE(12):150|SIZE(12):150|c
|&attachref(img/1040000000.png,15%);|ダーインスレイブ|COLOR(red):火|剣|15|[[ヒャズニングルーン++>武器奥義#hyazning]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]|[[軍師の気構え>スキル一覧#gunshinokigamae]]||150|33|445|253|3010|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[アルタイル (SSR)]]加入|
|&attachref(img/1040000100.png,15%);|デュランダル|COLOR(blue):水|剣|10|[[イリアスストライク++>武器奥義#iriasuend]]|[[霧氷の攻刃II>スキル一覧#muhyounokoujin2]]|[[渦潮の技巧>スキル一覧#uzushionogikou]]||150|38|410|263|3035|[[ヴィンテージシリーズ>武器概要/ヴィンテージシリーズ]]|ムーン交換|ゴールドムーン×30|
|&attachref(img/1040000300.png,15%);|アスカロン|COLOR(brown):土|剣|10|[[ゲオルギウスブレード>武器奥義#georgius]]|[[竜穿の一撃>スキル一覧#ryuuganoichigeki]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]||150|37|415|250|2940|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ジークフリート (SSR)]]加入|
|&attachref(img/1040000500.png,15%);|カラドボルグ|COLOR(orange):光|剣|10|[[ディヴァイン・パニッシュメント++>武器奥義#divinepunishment]]|[[聖女の行進>スキル一覧#seijyonokousin]]|[[地裂の守護>スキル一覧#tiretunosyugo]]||150|37|435|260|3030|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ジャンヌダルク (SSR)]]加入|
|&attachref(img/1040000600.png,15%);|レーヴァテイン|COLOR(red):火|剣|10|[[ヴィゾヴニルフランメ>武器奥義#vizo]]|[[紅蓮の守護>スキル一覧#gurennosyugo]]||||34|435|217|2565|恒常コンテンツ武器(その他)|カジノ|%%ラッキーガチャ1等報酬%%&br;カジノ景品交換|
|&attachref(img/1040001000.png,15%);|オートクレール|COLOR(orange):光|剣|25|[[ロンセスバージェス++>武器奥義#ronbar]]|[[雷迅卿の剣技>スキル一覧#raiginkyounokengi]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]||150|38|440|260|3080|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[アルベール (SSR)]]加入|
|&attachref(img/1040001300.png,15%);|ジュワユース|COLOR(green):風|剣|15|[[ローンスヴァール++>武器奥義#loansend]]|[[乱気の攻刃II>スキル一覧#rannkinokoujin2]]|[[竜巻の二手>スキル一覧#tatumakinonite]]||150|35|430|264|3090|[[ヴィンテージシリーズ>武器概要/ヴィンテージシリーズ]]|ムーン交換|ゴールドムーン×30|
|&attachref(img/1040001400.png,15%);|宝剣アンダリス|COLOR(brown):土|剣|1|[[剣閃++>武器奥義#kensenend]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[賢者の加護>スキル一覧#kenjanokago]]||150|36|400|245|2940|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[アレーティア (SSR)]]加入|
|&attachref(img/1040001600.png,15%);|輝剣クラウ・ソラス|COLOR(blue):水|剣|15|[[ノーブル・エクスキューション++>武器奥義#nobleexe3]]|[[霧氷の守護>スキル一覧#muhyounosyugo]]|[[聖騎士の誇り>スキル一覧#sekishinohokori]]||150|39|415|259|2980|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[シャルロッテ (SSR)]]加入|
|&attachref(img/1040001700.png,15%);|マナウィダンブレード|COLOR(blue):水|剣|10|[[フルクトゥアト・マーテル>武器奥義#furukumartel]]|[[霧氷の守護>スキル一覧#muhyounosyugo]]||||30|315|175|2015|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|砂神の巫女|
|&attachref(img/1040001900.png,15%);|フロッティ|COLOR(orange):光|剣|15|[[クリーオウ・ゲッシュ++>武器奥義#creao]]|[[天光の守護>スキル一覧#tennkounosyugo]]|[[貴顕の防衛策>スキル一覧#kikennnoboueisaku]]||150|37|425|257|2990|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[セルエル (SSR)]]加入|
|&attachref(img/1040002100.png,15%);|アルバコアブレード|COLOR(purple):闇|剣|10|[[トゥンヌスブリッツ>武器奥義#tonnusubliz]]|[[奈落の守護>スキル一覧#narakunosyugo]]||||24|345|169|2045|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|蒼海を征く暗黒巨大魚|
|&attachref(img/1040002200.png,15%);|世界樹の晶剣・マグナ|COLOR(brown):土|剣|50|[[ネザーマントル++>武器奥義#nethermantleend]]|[[創樹方陣・攻刃II>スキル一覧#soujyuhoujinkoujin2]]|||200|32|365|245|2840|[[マグナシリーズ>武器概要/マグナシリーズ]]|マルチバトル/マグナボス|[[ユグドラシル・マグナ討伐戦>NORMALマルチバトル攻略法/マグナボス#m5bdb2f1]]|
|&attachref(img/1040002300.png,15%);|バルムンク|COLOR(red):火|剣|10|[[クリムゾンカラミティ++>武器奥義#crimsoncalamityend]]|[[紅蓮の守護>スキル一覧#gurennosyugo]]|[[火の背水>スキル一覧#hinohaisui]]||150|26|335|200|2380|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|救国の忠騎士|
|&attachref(img/1040003100.png,15%);|ミストルテイン|COLOR(purple):闇|剣|10|[[ブレイザブリク++>武器奥義#breidablik]]|[[血啜りの一閃>スキル一覧#tisusurinoissen]]|[[紅蓮の守護>スキル一覧#gurennosyugo]]||150|32|440|244|2980|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[バザラガ (SSR)]]加入|
|&attachref(img/1040003200.png,15%);|風神剣|COLOR(green):風|剣|10|[[真・烈風>武器奥義#shinreppuu]]|[[乱気の攻刃>スキル一覧#rannkinokoujin]]||||27|330|172|2030|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|神境にて辿る跡|
|&attachref(img/1040003300.png,15%);|アンノウンソード|COLOR(red):火|剣|15|[[未確認生物、荒ぶる。>武器奥義#mikakuninaraburu]]|[[アンノウン・ATK II>スキル一覧#unkown_atk2]]||||26|340|174|2065|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|シンデレラファンタジー ～夢の続きの空の先 ～|
|&attachref(img/1040003400.png,15%);|バレンタインソード|COLOR(orange):光|剣|10|[[デア・パフューム>武器奥義#deaperfume]]|[[天光の守護>スキル一覧#tennkounosyugo]]||||28|325|173|2025|特典|ポイントショップ|はじめてのバレンタイン&br;[[Vポイント交換>ポイントショップ]]|
|&attachref(img/1040003600.png,15%);|ラスト・シン|COLOR(purple):闇|剣|15|[[コンヴィクションネイル++>武器奥義#convictionnail]]|[[狂恋の抱擁>スキル一覧#kyourennohouyou]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]||150|33|445|250|3010|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ヴィーラ (SSR)]]加入|
|&attachref(img/1040004400.png,15%);|ローエングリン|COLOR(red):火|剣|20|[[リゴメール++>武器奥義#rigomel]]|[[尽忠炎帝>スキル一覧#jintyuuentei]]|[[先制の炎壁>スキル一覧#senseinoenheki]]||150|35|444|260|3050|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[パーシヴァル (SSR)]]加入|
|&attachref(img/1040004500.png,15%);|フェアーソード|COLOR(red):火|剣|10|[[アサルトダンス>武器奥義#assultdance]]|[[ストレングス>スキル一覧#strength]]||||27|330|173|2015|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|交差する運命の物語|
|&attachref(img/1040004600.png,15%);|[[ミュルグレス>武器/ミュルグレス (SSR)]]|COLOR(blue):水|剣|40|[[レーゲンス++>武器奥義#regens]]|[[霧氷の攻刃III>スキル一覧#muhyounokoujin3]]|[[水の三手>スキル一覧#mizunosante]]||150|42|450|290|3340|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(レジェンドフェス)|[[カタリナ (SSR)]]加入|
